Primary Property Type - Self Selected,total_count,total_gfa,total_ghg,percentage_of_total_buildings,percentage_of_total_gfa,percentage_of_total_ghg
Automobile Dealership,1,25772.0,129.2,0.12121212121212122,0.02772236066550274,0.017767568301998053
Bank Branch,1,46350.0,0.0,0.12121212121212122,0.04985765236869673,0.0
College/University,206,19557823.0,214679.3,24.96969696969697,21.03791025291265,29.522671252129495
Data Center,4,286620.0,1972.2,0.48484848484848486,0.30831068655697635,0.27121670437461737
Drinking Water Treatment & Distribution,1,155632.0,2092.5,0.12121212121212122,0.1674098414982742,0.2877603457579793
Enclosed Mall,2,1143779.0,6815.1,0.24242424242424243,1.2303373412862044,0.9372117239546977
Financial Office,2,57923.0,251.8,0.24242424242424243,0.06230646813704467,0.03462750540590642
Fire Station,6,110691.0,381.0,0.7272727272727273,0.11906781873448563,0.05239507370790447
Fitness Center/Health Club/Gym,7,490785.0,2325.7,0.8484848484848486,0.527926384417925,0.3198299814238148
Food Service,1,30000.0,813.4,0.12121212121212122,0.03227032515773251,0.11185866917062862
Hospital (General Medical & Surgical),2,1012524.0,17684.3,0.24242424242424243,1.0891492903335984,2.431942787329908
Hotel,19,2721763.0,12229.6,2.3030303030303028,2.9277392337428503,1.6818131060844848
K-12 School,39,2459432.0,9095.4,4.7272727272727275,2.645555678111079,1.2507983028946834
Laboratory,65,10906876.0,195159.1,7.878787878787878,11.73228116583563,26.838255719864307
Library,3,140198.0,821.1,0.36363636363636365,0.15080783488212607,0.11291757223506659
Mailing Center/Post Office,1,56000.0,0.0,0.12121212121212122,0.06023794029443401,0.0
Manufacturing/Industrial Plant,4,281576.0,5161.799999999999,0.48484848484848486,0.30288496922045627,0.7098501088332317
Medical Office,3,146011.0,1036.5,0.36363636363636365,0.15706074822018937,0.14253935406362991
Mixed Use Property,26,3936079.0,56443.7,3.151515151515152,4.233951639217421,7.762130766002226
Movie Theater,1,25800.0,95.7,0.12121212121212122,0.02775247963564996,0.013160652372300416
Multifamily Housing,174,22834362.0,70117.3,21.09090909090909,24.562409550312374,9.642522576638454
Museum,3,740140.0,4819.3,0.36363636363636365,0.7961519487414713,0.6627495504475173
Non-Refrigerated Warehouse,1,60200.0,113.2,0.12121212121212122,0.06475578581651656,0.015567250246023063
Office,122,14727106.0,84554.6,14.787878787878789,15.841616641746445,11.627938318483938
Other,4,216624.0,552.5999999999999,0.48484848484848486,0.2330175638989549,0.07599348485823625
Other - Lodging/Residential,1,68991.0,0.0,0.12121212121212122,0.07421206676523745,0.0
Other - Mall,1,3017.0,0.0,0.12121212121212122,0.0032453190333626325,0.0
Other - Public Services,2,81524.0,284.1,0.24242424242424243,0.08769353293863283,0.03906939748140594
Other - Recreation,6,124423.0,637.2,0.7272727272727273,0.13383902223668506,0.08762766657920404
Other - Restaurant/Bar,1,20800.0,0.0,0.12121212121212122,0.022374092109361206,0.0
Other - Services,1,46666.0,70.3,0.12121212121212122,0.05019756646035818,0.009667647458440117
Other - Technology/Science,5,547998.0,8133.700000000001,0.6060606060606061,0.5894691215262367,1.118545435742737
Outpatient Rehabilitation/Physical Therapy,1,352622.0,3091.9,0.12121212121212122,0.3793075532589984,0.42519771232931725
Parking,12,2260082.0,1003.3,1.4545454545454546,2.4311193674379465,0.13797369409748178
Police Station,1,162547.0,1018.5,0.12121212121212122,0.17484815144713153,0.14006399625065805
Pre-school/Daycare,1,9478.0,29.3,0.12121212121212122,0.010195271394832957,0.004029332440004202
Residence Hall/Dormitory,42,3824466.0,16342.3,5.090909090909091,4.113892045823087,2.247391110385006
Residential Care Facility,1,31179.0,158.2,0.12121212121212122,0.03353854893643139,0.021755644778452723
Restaurant,2,18418.0,20.2,0.24242424242424243,0.019811828291837245,0.0027779015456684264
Retail Store,11,520126.0,1355.5,1.3333333333333335,0.5594878380996926,0.1864081953046313
Self-Storage Facility,1,202175.0,56.5,0.12121212121212122,0.2174750996254857,0.007769873135161688
Senior Living Community,4,353910.0,2490.9,0.48484848484848486,0.3806930258857704,0.3425482653517566
Social/Meeting Hall,2,43231.0,60.699999999999996,0.24242424242424243,0.0465026142297978,0.008347456624855122
Strip Mall,4,433592.0,1549.9,0.48484848484848486,0.46640516085971845,0.21314205968472744
Supermarket/Grocery Store,2,110281.0,1171.5,0.24242424242424243,0.11862679095732996,0.1611045376609189
Urgent Care/Clinic/Other Outpatient,2,110232.0,847.3,0.24242424242424243,0.11857408275957233,0.11652059305172563
Vocational School,1,21097.0,79.1,0.12121212121212122,0.02269356832842276,0.010877822389226362
Worship Facility,16,477064.0,1422.8,1.9393939393939394,0.5131670133682833,0.19566328312757608
